shortest_path	target_node
>KRAS>RAF1>YWHAQ>UCP3	UCP3
>KRAS>EEF1A1>YWHAQ>UCP3	UCP3
>KRAS>UBC>YWHAQ>UCP3	UCP3
>KRAS>HDAC3>YWHAQ>UCP3	UCP3
>KRAS>CALM1>YWHAQ>UCP3	UCP3
>KRAS>HNRNPC>YWHAQ>UCP3	UCP3
>KRAS>APP>RBM8A>TFCP2L1	TFCP2L1
>KRAS>UBC>RBM8A>TFCP2L1	TFCP2L1
>KRAS>UBC>TFAP4>TFCP2L1	TFCP2L1
>KRAS>HDAC1>TFAP4>TFCP2L1	TFCP2L1
>KRAS>ELAVL1>TFAP4>TFCP2L1	TFCP2L1
>KRAS>UBC>NARG2	NARG2
>KRAS>ELAVL1>NARG2	NARG2
>KRAS>UBC>ITGAL>ESM1	ESM1
>KRAS>UBC>LACTB	LACTB
>KRAS>CALM1>LACTB	LACTB
>KRAS>ELAVL1>LACTB	LACTB
>KRAS>RAF1>AR>NLRP10	NLRP10
>KRAS>UBC>AR>NLRP10	NLRP10
>KRAS>PHB>AR>NLRP10	NLRP10
>KRAS>HDAC1>AR>NLRP10	NLRP10
>KRAS>HDAC3>AR>NLRP10	NLRP10
>KRAS>CALM1>AR>NLRP10	NLRP10
>KRAS>MAPK1>AR>NLRP10	NLRP10
>KRAS>SIRT1>AR>NLRP10	NLRP10
>KRAS>DNAJA3>EGFR>NLRP10	NLRP10
>KRAS>EEF1A1>EGFR>NLRP10	NLRP10
>KRAS>UBC>EGFR>NLRP10	NLRP10
>KRAS>PIK3R2>EGFR>NLRP10	NLRP10
>KRAS>EEF1A1>CUL1>BMP8B	BMP8B
>KRAS>UBC>CUL1>BMP8B	BMP8B
>KRAS>CALM1>CUL1>BMP8B	BMP8B
>KRAS>ELAVL1>CUL1>BMP8B	BMP8B
>KRAS>HNRNPC>CUL1>BMP8B	BMP8B
>KRAS>APP>RIMS4	RIMS4
>KRAS>UBC>RIMS4	RIMS4
>KRAS>UBC>ARL15	ARL15
>KRAS>APP>MAD2L1	MAD2L1
>KRAS>UBC>MAD2L1	MAD2L1
>KRAS>EEF1A1>NEDD8>SCN1A	SCN1A
>KRAS>APP>NEDD8>SCN1A	SCN1A
>KRAS>UBC>NEDD8>SCN1A	SCN1A
>KRAS>HNRNPC>NEDD8>SCN1A	SCN1A
>KRAS>SIRT1>NEDD8>SCN1A	SCN1A
>KRAS>APP>PSEN1>SCN1A	SCN1A
>KRAS>UBC>PSEN1>SCN1A	SCN1A
>KRAS>APP>ALB>PF4V1	PF4V1
>KRAS>UBC>ALB>PF4V1	PF4V1
>KRAS>UBC>ZNF529	ZNF529
>KRAS>ELAVL1>ZNF529	ZNF529
>KRAS>UBC>ADAT1	ADAT1
>KRAS>ELAVL1>ADAT1	ADAT1
>KRAS>PIK3CA>YWHAH>USP43	USP43
>KRAS>RAF1>YWHAH>USP43	USP43
>KRAS>UBC>YWHAH>USP43	USP43
>KRAS>ELAVL1>YWHAH>USP43	USP43
>KRAS>RAF1>YWHAB>USP43	USP43
>KRAS>APP>YWHAB>USP43	USP43
>KRAS>UBC>YWHAB>USP43	USP43
>KRAS>PHB>YWHAB>USP43	USP43
>KRAS>PIK3R2>YWHAB>USP43	USP43
>KRAS>ELAVL1>YWHAB>USP43	USP43
>KRAS>RAF1>YWHAE>USP43	USP43
>KRAS>UBC>YWHAE>USP43	USP43
>KRAS>PHB>YWHAE>USP43	USP43
>KRAS>CALM1>YWHAE>USP43	USP43
>KRAS>HNRNPC>YWHAE>USP43	USP43
>KRAS>RAP1GDS1>YWHAE>USP43	USP43
>KRAS>APP>VPS35>USP43	USP43
>KRAS>UBC>VPS35>USP43	USP43
>KRAS>ELAVL1>VPS35>USP43	USP43
>KRAS>APP>FN3KRP>USP43	USP43
>KRAS>UBC>FN3KRP>USP43	USP43
>KRAS>UBC>PSME3>USP43	USP43
>KRAS>UBC>WDR3>USP43	USP43
>KRAS>UBC>PDCD2>USP43	USP43
>KRAS>UBC>MAGI3>USP43	USP43
>KRAS>APP>LARP7	LARP7
>KRAS>HDAC1>LARP7	LARP7
>KRAS>APP>MND1	MND1
>KRAS>UBC>MND1	MND1
>KRAS>UBC>ZHX1	ZHX1
>KRAS>ELAVL1>ZHX1	ZHX1
>KRAS>HDAC1>TBX3	TBX3
>KRAS>HDAC3>TBX3	TBX3
>KRAS>ELAVL1>TBX3	TBX3
>KRAS>UBC>NDUFAB1	NDUFAB1
>KRAS>UBC>PPP1CA>VPS54	VPS54
>KRAS>UBC>STX6>VPS54	VPS54
>KRAS>UBC>VPS53>VPS54	VPS54
>KRAS>UBC>VPS52>VPS54	VPS54
>KRAS>UBC>DSCC1	DSCC1
>KRAS>UBC>CYTH1	CYTH1
>KRAS>APP>PCBP1	PCBP1
>KRAS>UBC>PCBP1	PCBP1
>KRAS>ELAVL1>PCBP1	PCBP1
>KRAS>UBC>CIB1	CIB1
>KRAS>APP>KPTN>ITFG2	ITFG2
>KRAS>APP>ALKBH7	ALKBH7
>KRAS>HDAC1>ALKBH7	ALKBH7
>KRAS>UBC>BMPR2>OC90	OC90
>KRAS>UBC>SLC4A7	SLC4A7
>KRAS>UBC>SAP30BP	SAP30BP
>KRAS>APP>CYB561D2	CYB561D2
>KRAS>PIK3CA>YWHAH>KLC3	KLC3
>KRAS>RAF1>YWHAH>KLC3	KLC3
>KRAS>UBC>YWHAH>KLC3	KLC3
>KRAS>ELAVL1>YWHAH>KLC3	KLC3
>KRAS>RAF1>YWHAG>KLC3	KLC3
>KRAS>APP>YWHAG>KLC3	KLC3
>KRAS>UBC>YWHAG>KLC3	KLC3
>KRAS>CALM1>YWHAG>KLC3	KLC3
