STUDY_ID	SAMPLE_ID	HSP90AA1
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A6-01	27119.2
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A7-01	40410.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AA-01	39265.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AB-01	39310.8
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AC-01	48978.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AD-01	52117.1
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AE-01	45900.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AF-01	28427.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AG-01	21469.4
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2HX-01	28905.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I1-01	25827.7
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I2-01	33891.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I4-01	26408.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I6-01	16703.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IK-01	22426.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IL-01	15163.1
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IM-01	37512.2
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IN-01	30669.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IQ-01	14676.4
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IS-01	50534.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IT-01	30268.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IU-01	17991.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IV-01	42003.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WW-01	40408
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WX-01	29081.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WY-01	19935.8
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3X1-01	41971.7
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3X2-01	59135
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6AV-01	20881.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6AW-01	20160.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B0-01	25390.4
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B1-01	32394.2
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B2-01	27772.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B5-01	22417.7
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B6-01	40451.8
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6L-01	19361.1
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6M-01	36475.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6P-01	36545
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6Q-01	18390.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6R-01	41438.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6S-01	14745.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6T-01	18658.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6U-01	19344.7
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6W-01	42173.5
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6X-01	24243.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA71-01	38706.8
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA74-01	28743.4
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA75-01	28642
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA76-01	47843.8
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA77-01	27165.8
blca_tcga_pan_can_atlas_2018	TCGA-E5-A2PC-01	33217.3
blca_tcga_pan_can_atlas_2018	TCGA-E5-A4TZ-01	25674.5
blca_tcga_pan_can_atlas_2018	TCGA-E5-A4U1-01	13134.4
blca_tcga_pan_can_atlas_2018	TCGA-E7-A3X6-01	24301.1
blca_tcga_pan_can_atlas_2018	TCGA-E7-A3Y1-01	14331.2
blca_tcga_pan_can_atlas_2018	TCGA-E7-A4IJ-01	19422.1
blca_tcga_pan_can_atlas_2018	TCGA-E7-A4XJ-01	21162
blca_tcga_pan_can_atlas_2018	TCGA-E7-A519-01	21299.8
blca_tcga_pan_can_atlas_2018	TCGA-E7-A541-01	16883.4
blca_tcga_pan_can_atlas_2018	TCGA-E7-A5KE-01	17743.9
blca_tcga_pan_can_atlas_2018	TCGA-E7-A5KF-01	35525.1
blca_tcga_pan_can_atlas_2018	TCGA-E7-A677-01	18218.6
blca_tcga_pan_can_atlas_2018	TCGA-E7-A678-01	24684.9
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6MD-01	32904
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6ME-01	26250.2
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6MF-01	20962.9
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7DU-01	23980.6
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7DV-01	27048.1
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7PW-01	36324.8
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7XN-01	25730.3
blca_tcga_pan_can_atlas_2018	TCGA-E7-A85H-01	22387.2
blca_tcga_pan_can_atlas_2018	TCGA-E7-A8O7-01	17861.8
blca_tcga_pan_can_atlas_2018	TCGA-E7-A97P-01	30776.3
blca_tcga_pan_can_atlas_2018	TCGA-E7-A97Q-01	14571.3
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B3-01	27950.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B4-01	17383.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B5-01	25872.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B6-01	32189.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B7-01	32236.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B8-01	22426.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3N5-01	48836.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3N6-01	49094.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3NA-01	33066.7
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SJ-01	33347.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SL-01	26227.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SM-01	54863.7
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SN-01	15146.2
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SO-01	21528.3
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SP-01	21962.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SQ-01	15183.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SR-01	30489.2
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SS-01	25723
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43N-01	19008.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43P-01	17932
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43S-01	14582.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43U-01	14600.7
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43X-01	11339.7
blca_tcga_pan_can_atlas_2018	TCGA-FD-A43Y-01	12590.6
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BR-01	21155.9
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BS-01	12414.6
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BT-01	16355.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BU-01	14222.7
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BV-01	24754.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BX-01	24581.6
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BY-01	37813.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5BZ-01	22192
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5C0-01	20881
blca_tcga_pan_can_atlas_2018	TCGA-FD-A5C1-01	25803
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62N-01	27403.1
