STUDY_ID	SAMPLE_ID	EGFR
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A5-01	4447.85
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A6-01	85.6156
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A7-01	175.475
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AA-01	604.548
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AB-01	3451.98
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AC-01	36.4018
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AD-01	528.283
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AE-01	925.038
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AF-01	1150.23
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AG-01	678.974
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2HX-01	1039.89
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I1-01	152.967
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I2-01	2061.85
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I4-01	1193.86
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I6-01	1450.23
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IK-01	1700.93
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IL-01	488.295
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IM-01	5086.9
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IN-01	2513.56
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IQ-01	664.6
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IS-01	327.813
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IT-01	2584.72
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IU-01	1517.86
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IV-01	1412.23
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WW-01	1860.96
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WX-01	1853.38
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3WY-01	456.103
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3X1-01	244.142
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3X2-01	1684.66
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6AV-01	773.758
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6AW-01	186.754
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B0-01	101.315
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B1-01	223.919
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B2-01	1175.46
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B5-01	378.325
blca_tcga_pan_can_atlas_2018	TCGA-DK-A6B6-01	81.3441
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6L-01	1239.62
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6M-01	372.983
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6P-01	527.939
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6Q-01	723.006
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6R-01	1874.3
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6S-01	166.68
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6T-01	38.1944
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6U-01	590.977
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6W-01	383.476
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA6X-01	649.137
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA71-01	120.497
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA74-01	260.163
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA75-01	19.1781
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA76-01	327.064
blca_tcga_pan_can_atlas_2018	TCGA-DK-AA77-01	529.928
blca_tcga_pan_can_atlas_2018	TCGA-E5-A2PC-01	495.286
blca_tcga_pan_can_atlas_2018	TCGA-E5-A4TZ-01	1636.16
